fulfilment,saleschannel,shipservicelevel,category,size,qty,amount,shipcity,shipstate,b2b,Purchased_day,Purchased_month,rejected,Price_Pred
Merchant,Amazon.in,Standard,Set,S,0,647.62,MUMBAI,MAHARASHTRA,False,30,4,rejected,477.63
Merchant,Amazon.in,Standard,kurta,3XL,1,406.0,BENGALURU,KARNATAKA,False,30,4,not rejected,479.2408333333333
Merchant,Amazon.in,Standard,Western Dress,L,0,753.33,PUDUCHERRY,PUDUCHERRY,False,30,4,rejected,453.074
Merchant,Amazon.in,Standard,kurta,S,1,399.0,HYDERABAD,TELANGANA,False,30,4,not rejected,473.3163333333333
Amazon,Amazon.in,Expedited,Set,3XL,0,665.1355519636998,HYDERABAD,TELANGANA,False,30,4,rejected,739.31
Merchant,Amazon.in,Standard,kurta,XS,1,399.0,Amravati.,MAHARASHTRA,False,30,4,not rejected,481.19
Merchant,Amazon.in,Standard,Set,L,1,771.0,MUMBAI,MAHARASHTRA,False,30,4,not rejected,692.1633333333333
Merchant,Amazon.in,Standard,kurta,6XL,1,544.0,GUNTAKAL,ANDHRA PRADESH,False,30,4,not rejected,407.78
Merchant,Amazon.in,Standard,kurta,XXL,1,458.0,Gurgaon,HARYANA,False,30,4,not rejected,768.3633333333335
Merchant,Amazon.in,Standard,Set,M,0,570.48,pune,MAHARASHTRA,False,30,4,rejected,615.055
Merchant,Amazon.in,Standard,Set,XS,1,582.0,RANCHI,JHARKHAND,False,30,4,not rejected,788.105
Merchant,Amazon.in,Standard,kurta,3XL,1,299.0,BILASPUR,CHHATTISGARH,False,30,4,not rejected,403.98
Merchant,Amazon.in,Standard,kurta,3XL,0,665.1355519636998,GUWAHATI,ASSAM,False,30,4,rejected,768.11
Merchant,Amazon.in,Standard,kurta,M,1,517.0,JEYPUR,ODISHA,False,30,4,not rejected,429.1594642857142
Merchant,Amazon.in,Standard,kurta,XL,1,499.0,LUCKNOW,UTTAR PRADESH,False,30,4,not rejected,468.44666666666666
Merchant,Amazon.in,Standard,kurta,M,1,424.0,MUMBAI,MAHARASHTRA,False,30,4,not rejected,731.7525
Merchant,Amazon.in,Standard,kurta,M,1,399.0,KEWALPUR,UTTAR PRADESH,False,30,4,not rejected,737.63
Merchant,Amazon.in,Standard,Set,XL,1,599.0,BENGALURU,KARNATAKA,False,30,4,not rejected,436.54
Amazon,Amazon.in,Expedited,kurta,XXL,0,665.1355519636998,Dahod,Gujarat,False,30,4,rejected,428.2676666666666
Merchant,Amazon.in,Standard,kurta,XL,1,696.0,CHENNAI,TAMIL NADU,False,30,4,not rejected,820.27
Merchant,Amazon.in,Standard,Set,S,1,631.0,bangalore,KARNATAKA,False,30,4,not rejected,612.935
Merchant,Amazon.in,Standard,kurta,XL,1,362.0,BERHAMPUR,ODISHA,False,30,4,not rejected,674.4
Merchant,Amazon.in,Standard,Set,M,0,1105.36,DEHRADUN,UTTARAKHAND,False,30,4,rejected,458.41
Amazon,Amazon.in,Expedited,kurta,M,0,665.1355519636998,HYDERABAD,TELANGANA,False,30,4,rejected,424.96333333333337
Merchant,Amazon.in,Standard,Bottom,3XL,1,377.0,KOLKATA,WEST BENGAL,False,30,4,not rejected,739.615
Merchant,Amazon.in,Standard,Western Dress,XXL,1,859.0,JAIPUR,RAJASTHAN,False,30,4,not rejected,434.93428571428575
Merchant,Amazon.in,Standard,kurta,3XL,1,725.0,CHENNAI,TAMIL NADU,False,30,4,not rejected,795.98
Amazon,Amazon.in,Expedited,kurta,L,0,665.1355519636998,PUNE,MAHARASHTRA,False,30,4,rejected,457.14366666666666
Amazon,Amazon.in,Expedited,Set,S,0,665.1355519636998,NEW DELHI,DELHI,False,30,4,rejected,747.1738333333333
Merchant,Amazon.in,Standard,Western Dress,S,1,472.0,GWALIOR,MADHYA PRADESH,False,30,4,not rejected,466.4266666666666
Merchant,Amazon.in,Standard,Top,M,1,518.0,MUMBAI,MAHARASHTRA,False,30,4,not rejected,475.42
Merchant,Amazon.in,Standard,kurta,3XL,1,579.0,BENGALURU,KARNATAKA,False,30,4,not rejected,437.45423809523805
Amazon,Amazon.in,Expedited,Set,3XL,0,665.1355519636998,KOLAR,KARNATAKA,False,30,4,rejected,414.2
Merchant,Amazon.in,Standard,Set,M,1,788.0,CHIRMIRI,CHHATTISGARH,False,30,4,not rejected,500.465
Amazon,Amazon.in,Expedited,Top,3XL,0,665.1355519636998,AZAMGARH,UTTAR PRADESH,False,30,4,rejected,716.53
Merchant,Amazon.in,Standard,Set,S,1,999.0,AMILA,UTTAR PRADESH,False,30,4,not rejected,827.28
Merchant,Amazon.in,Standard,kurta,3XL,1,376.0,TIRUCHIRAPPALLI,TAMIL NADU,False,30,4,not rejected,482.62
Amazon,Amazon.in,Expedited,kurta,XL,0,665.1355519636998,Puri-2,ODISHA,False,30,4,rejected,651.6
Merchant,Amazon.in,Standard,kurta,XL,1,353.0,PARAVUR,KERALA,False,30,4,not rejected,558.0633333333334
Merchant,Amazon.in,Standard,kurta,S,1,399.0,BASTI,UTTAR PRADESH,False,30,4,not rejected,665.0
Merchant,Amazon.in,Standard,kurta,S,1,399.0,Mahendragarh,HARYANA,False,30,4,not rejected,760.72
Amazon,Amazon.in,Expedited,kurta,6XL,0,665.1355519636998,WALAJAPET,TAMIL NADU,False,30,4,rejected,493.3028571428572
